"","Province_State","Week","Doses_yf","Total_Additional_Doses_yf","People_At_Least_One_Dose_yf","People_Fully_Vaccinated_yf","Doses_yf_Percent","Total_Additional_Doses_yf_Percent","People_At_Least_One_Dose_yf_Percent","People_Fully_Vaccinated_yf_Percent"
"74","Indiana",2021-12-26,8541494,1246826,3904600,3504367,100,18,57,51
"75","Indiana",2022-12-25,11008571,1961604,4320133,3877039,100,29,63,57
"76","Indiana",2023-03-05,11130051,1983352,4338539,3888678,100,29,63,57
"77","Iowa",2020-12-27,51112,0,0,0,2,0,0,0
"78","Iowa",2021-12-26,4636337,831819,2050210,1862192,100,26,64,58
"79","Iowa",2022-12-25,6014512,1155979,2221926,2024038,100,36,69,63
"80","Iowa",2023-03-05,6093676,1168028,2230370,2031863,100,36,70,63
"81","Kansas",2020-12-27,15779,0,0,0,1,0,0,0
"82","Kansas",2021-12-26,4086291,561807,2022600,1663055,100,19,69,57
"83","Kansas",2022-12-25,5282684,922111,2210954,1894261,100,31,75,65
"84","Kansas",2023-03-05,5351180,933915,2222386,1903883,100,32,76,65
"85","Kentucky",2020-12-27,56498,0,0,0,1,0,0,0
"86","Kentucky",2021-12-26,5904238,863745,2794360,2424784,100,19,62,54
"87","Kentucky",2022-12-25,7392531,1278111,3064611,2653934,100,28,68,59
"88","Kentucky",2023-03-05,7474765,1291205,3077835,2664153,100,29,68,59
"89","Louisiana",2020-12-27,46687,0,0,0,1,0,0,0
"90","Louisiana",2021-12-26,5651941,722832,2672643,2339252,100,16,58,51
"91","Louisiana",2022-12-25,6870075,1096048,2912484,2552561,100,24,63,56
"92","Louisiana",2023-03-05,6930963,1105395,2919477,2558088,100,24,64,56
"93","Maine",2020-12-27,27105,0,0,0,2,0,0,0
"94","Maine",2021-12-26,2517173,454073,1156210,1020289,100,33,84,74
"95","Maine",2022-12-25,3458390,675930,1302731,1115904,100,49,94,80
"96","Maine",2023-03-05,3509403,683267,1311201,1120822,100,49,94,80
"97","Maryland",2020-12-27,57628,0,0,0,1,0,0,0
"98","Maryland",2021-12-26,10468179,1618895,4872277,4260165,100,26,79,69
"99","Maryland",2022-12-25,14414405,2702617,5519787,4798758,100,44,90,78
"100","Maryland",2023-03-05,14612555,2737283,5549110,4821895,100,44,90,78
"101","Massachusetts",2020-12-27,88076,0,0,0,1,0,0,0
"102","Massachusetts",2021-12-26,13029285,1989542,6260640,5145662,100,28,90,74
